,ECFP6_2048,pubchem,pIC50
538,8.052620544195008,7.351296197796854,8.130768280269024
1289,5.671086155366375,6.0954146771145,5.0
631,7.589004441118818,7.919326468312496,7.1487416512809245
1178,7.5259149465622,7.650960365552402,7.568636235841013
1084,5.001938912187932,4.779647974795594,4.769551078621726
65,7.894640970550538,8.212043833733373,7.744727494896693
1193,6.518697469211523,7.232063547712198,8.301029995663981
809,7.094970892794339,6.74077734868981,6.570247719997592
904,5.573660293596357,5.207203325108642,4.831414134463589
588,9.182498433600943,8.978044681518561,9.51999305704285
361,6.645645915502552,6.986293971354533,6.355561410532162
482,6.55355037234919,6.970228985704472,6.823908740944319
1490,8.749542992393827,8.27215639026125,8.500038134403809
619,8.040736896312,8.057900712773357,7.853871964321762
111,7.780096196873666,8.19607909736538,7.698970004336019
987,4.245093000453478,5.029917465937195,4.494850021680094
1566,6.409616258846361,6.198375474431894,5.989700043360188
628,7.57241565263035,8.358973768640777,8.236572006437063
1772,6.689811629713011,6.6048661356706,6.980011840408714
1492,8.578501667775193,8.27215639026125,8.899974269892137
415,8.040614615107703,7.573569849841581,7.896196279044043
1322,4.74114103456757,5.263585522429675,5.0
839,4.872211421483189,5.1865849760969756,5.0
1179,7.540872010901179,7.755388269121982,8.096910013008056
843,5.270906914233936,5.227059682699583,5.0
1023,5.743278931028695,5.806631796276642,4.769551078621726
270,7.744661191543089,7.904074568196534,8.244125144327509
1310,6.429184364177638,6.25773990800761,5.6020599913279625
398,4.756877320682914,5.216502675350945,5.0
1078,4.929394354087772,5.457975025912806,4.769551078621726
583,5.568076596693223,6.459531692917757,6.399996913372259
506,8.550735137651131,8.197797636949867,8.823908740944319
813,6.973547000451961,7.360624976424765,7.236572006437063
1565,5.767059144452273,6.032276005711207,5.735182176990463
1613,5.198063056839114,5.64561934532232,5.777283528852417
203,8.684877515456206,8.521049716474874,9.522878745280336
1305,5.322785131309732,5.500013727704603,5.0
1047,8.855600047656477,9.019289369262495,9.110026361596004
1779,7.240381398656642,6.350497787563788,7.029978734171634
824,5.0612106088631705,5.654786398928893,6.903089986991944
1450,6.862286141335954,5.758588345167571,5.0
351,6.0301292948791465,5.742038310324119,6.476253533188435
239,5.112968065757092,5.193070296589917,5.499999678657065
952,4.644711398160282,4.409972679229724,5.114638779968488
1837,5.221515585753134,5.325665439460596,5.142667503568732
782,9.178392611555093,8.692664680553015,9.522878745280336
1827,5.028234021410739,5.112370980252034,5.619788758288394
212,8.738787476577649,9.050313994374607,9.045757490560677
651,7.539544519008945,7.41137294354459,8.468521082957745
1389,4.990131488735693,5.509132243494065,5.0
759,9.167005579450679,8.86998456354274,9.221848749616356
382,7.1449646748894695,6.984641308988129,7.371611069949688
275,7.693533839668414,7.742622039251899,6.812479279163537
1758,6.173419622632964,6.168590049377516,5.0
1395,5.5627547460219695,5.36222076121392,6.6595558851598815
307,5.880390155473093,5.998988954811593,5.301029995663981
1530,7.051461275825431,7.0291520044792835,7.522878745280337
613,7.365528972984663,6.566467439557918,5.525492360883025
1427,5.570377026517439,5.301829073990257,6.096910013008056
1090,4.741854698194144,4.838274596331579,4.769551078621726
939,5.401661397722714,5.367743009526377,5.779891911959945
864,5.918375396174828,4.786337924780884,4.494850021680094
422,7.966421965081081,7.962830887165256,7.67778070526608
1114,5.1037137075097885,5.364792062608955,5.0
1765,6.494306852492603,6.44480138578133,5.0
29,6.899235500541368,7.484106983223804,6.346787486224656
109,8.337633230549788,7.71264110244959,8.431798275933005
1678,5.844750530864961,6.566395214905365,6.096910013008056
557,8.217115832466124,7.904901994222439,8.229147988357855
532,6.587988256918846,6.86749383632295,8.096910013008056
1292,5.97921894374287,6.797078334622316,6.642065152999546
1746,6.391722172019546,5.609713492784454,5.0
411,8.041037492807844,8.300609736192806,7.366531544420414
701,8.263577749334695,8.839863121019135,7.549750891680639
408,7.211271340768578,7.336408737301941,8.55284196865778
1316,5.121553581738441,4.776016232706329,5.0
1784,6.2296766050672305,7.36685448814553,7.489991487059766
218,6.045600510601873,6.176219855399257,6.795880017344075
599,8.267999278883188,7.754399135691174,7.747146969020107
582,7.492309165450946,7.415929834016316,7.700057099977233
485,5.802460457425097,5.9136678975782315,7.022276394711152
1428,5.550077025734788,5.301829073990257,6.0
1262,6.673690222316833,6.894506143792739,7.022276394711152
247,7.595269464697357,7.217544537933338,7.400007822415902
1394,5.955021311103686,6.6202405425567,5.0
1132,6.315111782669194,6.191295418787481,5.698970004336019
1607,5.872242607516528,5.108902767161935,7.096910013008056
1005,5.33083909803415,5.220909339031428,4.494850021680094
1010,6.441140734490846,6.8274771750359315,6.701146923590294
352,6.184160789403049,6.248536857036133,6.468521082957745
494,8.526425629032493,8.233941618791366,8.096910013008056
1187,6.863092810256307,7.252334425810407,6.221848749616356
1683,6.508703345927128,6.80681633863928,6.3979400086720375
1233,5.8816562515438475,5.479165011274879,5.0655015487564325
1839,5.92390675158781,5.89385384936968,6.503070351926785
1326,6.7536659313675775,6.505060889464426,6.82102305270683
1709,7.26422842837651,7.952732561723641,8.397940008672037
907,4.670488428634217,4.465905976440894,4.494850021680094
1225,5.188259460382534,5.703090980474017,5.337242168318426
479,6.005890252727689,6.189699342975543,6.657577319177793
1537,7.118954482999809,6.495261082888158,5.872895201635193
344,6.606776630792543,6.383654533704843,6.543633966870957
1101,5.285141579268702,5.552418761129719,5.0
1288,5.902070883478578,6.0954146771145,5.72584215073632
873,6.607546412871382,5.616849876154528,5.649751981665837
233,4.3961821512279915,4.8475440547168125,5.300000202445418
575,7.810912927781295,7.665799043487404,8.199970640755867
1786,6.619391338842616,7.194141482583977,6.779891911959945
196,7.801217224494251,7.720135418722604,7.856985199745905
1580,6.896057673570111,7.23651323473831,7.376750709602099
1675,5.616494011899291,6.4074317877456,6.0
1335,4.9716618465,5.076123849185098,5.0
817,7.2407053279406615,7.665836285861902,7.346787486224656
1404,5.2057782923817175,5.456249028396305,5.99012436628784
1666,7.80419110896642,7.929132918777973,8.522878745280337
1177,7.546731194339878,7.650960365552402,8.0
1261,6.680846666792701,6.797078334622316,7.488116639021126
1181,7.930428929918159,7.779247510770809,7.0
867,4.84340652364847,4.670078957830345,4.494850021680094
1113,5.269385730094296,5.33780131902646,5.638272163982407
1576,7.443195629058192,8.303016437376774,8.920818753952375
1252,6.059130593631184,5.7607507524656345,5.325138859262188
425,7.886715496186089,7.816869051165624,7.485452247339714
350,6.587532748835456,6.2911979492695735,6.730487055782084
70,8.208579838887335,7.757446748926551,8.537602002101044
1612,4.866359688736431,5.107360346965658,5.0
188,7.6055012650295195,7.8480406850515205,7.795880017344075
1006,5.349743079565342,4.7482634976601865,4.494850021680094
135,7.780096196873666,8.19607909736538,7.318758762624412
721,7.215598413714001,7.400540915123371,7.823908740944319
607,7.28709649110159,7.341243911136249,8.065501548756432
1648,6.697051240805794,5.707346607061687,7.102372908709558
1029,8.24290037457702,8.247574712800215,8.830031826003108
231,5.7657974454712955,6.451636452310856,5.800000874803203
331,7.168053661577325,7.354661156934868,7.301029995663981
1134,6.356608408227758,6.683981040716593,6.400116927926312
439,8.048635900918566,7.8720401310593155,8.292429823902063
1531,7.058552387251189,7.352000814595616,6.471083299722345
679,7.489006593970905,7.547338690773629,8.42021640338319
23,5.273090014256449,4.984158170599981,4.721246399047171
530,7.964206415747165,7.471403610259895,7.645891560852599
63,7.935236184979662,8.23364164462679,8.853871964321762
