,ECFP6_2048,mol2vec,pIC50
2268,7.831317889189475,7.14326634253176,7.468521082957745
3529,7.995867291306914,6.399291932099323,7.697885623043799
3916,5.076247683417061,5.048953383395023,4.454321850207974
4371,5.58924684630249,5.869046540383796,5.701146923590294
544,5.9034199453015095,5.70790168302739,4.2699999970646445
2225,6.855139493010425,6.527607348307273,6.6777807052660805
3739,4.416482984013653,4.6235859544553195,3.3010299956639813
2887,5.94178744222569,5.906389957941845,4.801342913045577
228,5.974839854129659,6.116219988601216,5.886056647693163
393,7.233052778575318,6.862821407824436,7.929962133392243
4917,6.3554324234664845,6.088003851333564,6.941573975542995
1964,9.380787862667647,10.391662476172218,9.30102999566398
2650,4.892350133919975,5.150712425698694,4.697452627512514
3017,5.211596162259906,5.5211058101425285,5.251811972993799
401,7.196232523969983,7.363852358635882,7.730020323354676
4974,5.839888875621967,5.699281831464433,6.080921907623926
2173,4.673082483241169,5.120290103395125,4.832682665251824
3939,5.641887996816342,6.613832007200089,5.174573882232177
3181,6.663290550129861,6.0298188987789745,6.370590400897281
346,7.175822976647146,6.583153928920721,7.010016541698601
1550,6.080391536081603,6.007630470845395,6.716698771296451
5714,5.147332171873801,5.023786641104731,4.943095148663527
705,6.471640136149459,7.448820133224028,8.657577319177793
3951,5.419594500561753,4.919939057977335,5.1938200260161125
4645,3.881553220286109,3.656107412505007,3.882397308309916
2358,5.088760791932458,5.005032070585041,4.911509529817604
4338,6.8327495909469365,6.805127534937822,7.366531544420414
4440,5.881449986686662,5.6025299346151325,5.236572006437063
2521,5.475356686603286,5.553280364483057,5.106238237942057
4059,3.8597803172778433,4.364501248784679,3.0
2986,2.665457450010415,2.7637764153530338,2.9706162223147903
410,7.980747841322188,6.8013597693640335,7.886056647693163
5620,5.807187430760208,5.367169564104066,5.0
3080,7.317097674297176,7.005644251258561,6.632644078973981
3375,8.009151060914904,9.403874491084519,10.571055709964426
3767,5.3530329093402855,5.3258618493874,5.2225731776106885
5910,4.074274522472303,3.5110523400753832,2.710634048479968
755,7.452692487660335,7.576194399999482,7.920818753952375
1496,6.230215323264566,5.83666662603129,5.552841968657781
4631,6.483789843328128,7.232330884653527,6.958607314841775
5377,5.000622193490442,5.337113334280538,4.75559916619863
6045,6.319926408706765,5.827921220382574,6.638272163982407
1086,5.094850404284949,5.601896099842919,5.522878745280337
3148,4.868483376557222,5.521334590698359,4.533132379645891
4081,3.9075539862454844,4.51319465202406,3.6989700043360174
2399,4.620278180367026,3.995699363739825,3.6989700043360174
3688,5.43924746568312,6.18362103907993,4.915245036820646
808,5.556844514646448,6.72735841382457,6.292429823902063
1514,5.7864931954958,6.057719543794913,5.101823516502323
3684,6.479582919349076,6.5200261579319045,7.366531544420414
1780,8.234059358572173,7.897571046388784,9.318758762624412
1611,4.605598734330202,3.1902123033602865,3.2967086218813386
1650,5.4393353183641535,5.2601996116496785,6.154901959985743
730,6.480987388699101,6.748256846079956,7.769551078621726
5137,5.325236345622391,5.554733308921908,5.578396073130169
4108,3.052259255291152,3.2559602361767,3.047788941891331
4765,8.27428667794863,7.376096260554972,8.787812395596042
2181,4.560256693665433,4.778397254941139,4.809668301829708
4727,3.8800382472178074,4.217754885926847,3.686976889676762
5136,5.522226203540882,5.791585228728333,5.437707135543525
1144,8.102751186732865,7.781533220421714,8.247951552180561
1302,4.107077071019664,4.644796695724844,4.301029995663981
167,6.146572296768326,6.4296226300730455,6.79317412396815
4837,4.615209098884019,4.575861053904275,4.543633966870957
233,5.027474762200612,4.613478417299672,5.0
5569,4.266450257084527,4.359572225739971,4.301029995663981
3827,5.991378290162942,5.197590191063169,5.798602875679548
2418,8.730343537478007,8.791501400979069,8.860120913598763
960,6.377615754030213,5.932938771332495,7.552841968657781
4909,6.3466842124693565,5.757164068647682,6.991399828238082
3691,5.294125911266907,5.747659827720966,4.513286224017515
3555,7.526118230304222,7.49685982065167,7.815308569182402
2929,4.824034026660521,4.463014690435502,4.145693958198919
1371,6.228801065570723,5.58770033397896,6.485452247339714
2683,5.023990788227573,5.497158217073748,5.47755576649368
710,6.837570748453593,5.683685683487446,8.304518323509802
2164,5.369462646966243,4.89903091587833,5.221848749616356
4349,5.893671626415323,6.255080884344062,6.767003889607846
5194,5.058966458860002,5.279762198476093,5.300000202445418
1188,7.403243118870482,8.078423743167567,8.179995693191682
2664,4.701803541744735,4.85902092202911,4.927750102386486
5663,5.106736962207082,5.391462433126142,5.285670240254767
2457,4.871809482134876,5.622872087315843,4.899629454882437
5846,5.718268312150528,5.87655337105131,6.318758762624412
5017,5.52166619454719,4.981460517543432,4.809668301829708
2741,6.651674156182849,6.675094528428513,7.886056647693163
2522,5.839648321267028,5.567105918131489,6.3979400086720375
3409,2.6014856059369107,2.8398223441233297,2.530177984021837
5476,4.767334930669487,4.8338226765761725,4.658763376761308
1623,5.3782997894445845,4.162804625112235,3.196542884351586
5642,5.170756488446854,4.91231042997649,4.881735273910521
3339,6.1130688718666795,6.264936076213575,6.522878745280337
2346,4.58353665267502,5.35012085711117,4.638839004804974
2008,5.406117339690036,4.811471269496535,4.385841290490825
319,8.045487414502633,7.184234524065826,7.698970004336019
747,7.183696354629322,6.446713607025563,6.515700160653214
1426,8.796037810230752,8.259224292697205,9.173925197299171
1084,5.9430906483260495,5.319689047735693,5.522878745280337
2997,5.114614301173199,7.297229727309299,5.414539270491499
4377,4.6587044831412925,6.05195287785938,4.522878745280337
4576,5.258129474317055,5.77947842474083,5.432973633840939
4990,6.092972079747286,6.041064076676211,6.522878745280337
4988,5.980925801836211,5.983530793506049,6.060480747381382
1074,7.01176119595926,7.1795354125411,7.443697499232712
5509,4.239124409931445,4.10390253500993,4.0
3614,6.19836602933028,5.512201732099781,5.200659450546418
1351,4.855503550149604,5.186378968731128,5.045275209020937
4013,7.1703428290335705,7.174763999005481,7.522878745280337
3066,6.075496337421729,6.114082653196944,6.08600081756968
5711,5.11658628294868,4.72391672306442,4.454692883534176
1706,6.40787956103802,6.578061983110858,6.405607449624573
80,6.180693232970396,6.069859672145144,5.823908740944319
1694,7.03918240125137,7.412337583885892,7.443697499232712
3505,5.4401959783983616,6.486218956798079,5.172630726946175
4396,5.646659056405795,6.036159838884143,5.0
1406,5.0791498213906285,4.176307866767764,4.161150909262744
1042,4.899456924243139,4.600523861190539,4.0
4977,5.907076833808645,5.4380331245827,5.950781977329818
6054,6.164969192263564,6.430959581771611,6.52432881167557
2344,4.52653437127324,5.0974433231401495,4.645315446045271
79,5.712169229741671,6.011635450092013,4.958607314841775
3126,5.103553162004534,4.712292670497047,3.81864240797155
1335,4.293654838637481,4.846435408519393,4.301029995663981
2499,4.010584506831132,4.9134211183329874,4.107905397309519
4712,7.51240204049911,6.337200199212648,6.584025588623434
3697,5.717756469799121,6.086648697036541,5.231361898752385
2944,4.437619667006473,4.052468379205778,4.292429823902063
23,5.210331232109969,5.48703750915245,4.301029995663981
1420,6.701984420178307,6.115825686776245,8.079876673709276
5435,5.913985860587729,6.294883304366589,5.958607314841775
3611,5.040570331083124,5.5896185881732094,5.207608310501746
5190,5.467964184879525,5.051327995230104,5.809999051930338
2473,7.214819473819056,7.287433546247785,7.826813731587726
6121,5.5491117324147545,5.530034849752198,4.259637310505756
1488,8.195217189781069,8.19681005607587,8.782516055786093
3085,6.760448126543331,7.256588203580217,7.812479279163536
3491,7.300835997234035,6.247532828873032,6.356547323513812
1820,4.0119321904481255,4.410928996305738,3.5686362358410126
4256,3.5787148340356527,4.271029495953072,3.6989700043360174
1786,7.146536935932876,7.477214490297606,7.552841968657781
501,4.582857600447524,4.69867943502105,5.283162276700476
1730,5.894598909491223,6.056668040296306,5.659159450187668
1039,8.133700764183315,8.31490252198012,9.10790539730952
263,5.8419281755321775,6.500403297423406,6.721246399047171
2223,6.795109781112742,6.669540866433533,6.844663962534939
691,5.4487773824955275,5.876228501651145,6.301029995663981
2110,8.111620196703146,8.30238569266999,8.599980364934842
810,5.9504785780266225,6.236853452930732,6.119186407719209
4099,2.9873084893976194,3.6409306518468862,2.975514332300833
4113,3.1222350014229248,4.085982311557369,3.379343520180379
4607,5.037144744992098,5.1761232502651575,5.0
2932,4.4685416747492885,4.435474863812965,4.0
37,6.220649565246751,6.876937058632808,7.397940008672037
5907,4.536260695759695,4.424977533999752,6.073143291050307
4141,4.413326267636048,4.69430250857369,4.928117992693875
6012,5.8776285273556335,6.086263908567382,5.346787486224656
4482,6.580557654535371,6.15531260886816,6.533132379645891
2471,7.551874530283541,6.909157732199444,7.153044674980176
3659,3.6921473642875027,3.5921884563498727,3.627824713884936
5246,5.57826356228093,5.8165522395021565,5.167491087293763
1741,7.258894299399622,6.977431443357786,5.026872146400302
4540,7.947536663888486,8.287618135827133,8.750068243365805
3089,7.203389045329618,7.260605811610799,6.400116927926312
1049,5.569872346734715,6.124702525321701,6.995678626217358
156,5.474152530441735,6.268802886403585,5.4156687756324695
3958,5.073326822638754,4.9123182599588,5.119186407719209
4302,4.780056302527848,4.161226052949503,4.0
465,4.432904882074279,5.162582468986256,4.0
5903,4.997067211525842,3.243693704604136,2.84740592207253
1186,7.012992026443457,6.900414003990325,7.199970640755866
2312,4.6759696741323795,4.944275866013972,4.864009153078375
2995,5.0468551644023965,5.716898434390814,5.146910470148135
1615,5.725764377855414,4.621640190784544,4.508638306165727
1047,5.182025677932914,5.467475295882502,3.9788107009300617
4834,4.821554942264702,5.6724325164330835,5.0
2404,4.544947149298102,4.651927917589401,4.0343280287798935
2905,5.986079140085333,6.201488377357951,6.060480747381382
3263,7.479236569946041,6.884528972504596,6.653647025549361
1005,6.374278787959387,6.146277092655141,5.008330992620052
2778,5.377038800935433,5.969569369024224,3.882728704344236
2531,5.385285389950676,5.021283747332319,6.455931955649724
4935,5.682687358070534,5.86311006513476,5.404503778174425
84,6.017039565919722,6.631960800893916,5.346787486224656
2646,4.6589879723576235,4.762368643805934,4.706637445288554
2554,6.636854707116357,6.618529724232841,7.040005161671584
3396,2.9255401459751864,3.164429279549913,3.2596373105057563
4184,5.180540430902642,4.880306955054162,5.301029995663981
2742,6.486091537671223,6.506507725135792,7.267606240177032
3590,5.594572823844754,5.50558222162209,5.97061622231479
5500,4.295187725615716,5.0497983514419795,4.0
3006,5.519082887357017,5.176814184413438,5.252588192113577
2843,5.2862566375581075,5.312913856328282,5.115204636051019
1018,8.041980784210272,8.736427386991796,9.229147988357855
4898,5.50263332153507,5.307526329997298,5.0
1839,4.722182602863576,4.976173994605712,4.221848749616356
1743,6.568692276326145,6.472941170607618,6.080921907623926
