,ECFP6_2048,rdk,pIC50
2268,7.831317890361498,7.739871303851971,7.468521082957745
3529,7.995867293700292,7.214668240431834,7.697885623043799
3916,5.076247683137429,4.741944103833563,4.454321850207974
4371,5.5892468470025545,5.66969519212907,5.701146923590294
544,5.90341994606524,6.616332889296692,4.2699999970646445
2225,6.855139493138697,6.773180272701531,6.6777807052660805
3739,4.416482984822885,4.168890233228647,3.3010299956639813
2887,5.941787441861639,5.546402150783824,4.801342913045577
228,5.974839854676382,5.543502987163066,5.886056647693163
393,7.233052778368903,6.408863291067274,7.929962133392243
4917,6.355432425227377,6.66641862725726,6.941573975542995
1964,9.380787863824619,9.628241327110123,9.30102999566398
2650,4.892350131034083,5.087632267091255,4.697452627512514
3017,5.211596162346706,5.334236269217588,5.251811972993799
401,7.196232523089172,7.2224010582292575,7.730020323354676
4974,5.839888875439458,5.965830135010741,6.080921907623926
2173,4.673082482736849,5.034846158645277,4.832682665251824
3939,5.641887998535726,5.557192060031057,5.174573882232177
3181,6.663290550383062,6.165315214953603,6.370590400897281
346,7.175822976589444,6.612299426051516,7.010016541698601
1550,6.0803915371652275,6.442992029269339,6.716698771296451
5714,5.147332172250625,5.153230989248873,4.943095148663527
705,6.471640136991158,7.931878689035443,8.657577319177793
3951,5.419594499856141,5.101199203426902,5.1938200260161125
4645,3.88155322017763,4.009508567555192,3.882397308309916
2358,5.088760792300254,5.135168010518858,4.911509529817604
4338,6.83274959139303,7.220751514816547,7.366531544420414
4440,5.8814499864100345,5.4167773800266605,5.236572006437063
2521,5.475356687534516,5.9700311633805985,5.106238237942057
4059,3.8597803182995243,3.902520095555194,3.0
2986,2.6654574502825934,2.8943233728051285,2.9706162223147903
410,7.98074784158314,8.87937685236649,7.886056647693163
5620,5.80718742908691,5.385199780613434,5.0
3080,7.317097673860525,6.968595261635499,6.632644078973981
3375,8.009151061011083,9.908627277854157,10.571055709964426
3767,5.353032909665363,4.994228129780332,5.2225731776106885
5910,4.074274522973232,4.029094053429598,2.710634048479968
755,7.452692488320247,7.769181614926139,7.920818753952375
1496,6.230215322519154,6.306513155507914,5.552841968657781
4631,6.483789844259681,6.688833213085212,6.958607314841775
5377,5.000622194067543,5.672715258075082,4.75559916619863
6045,6.319926408074331,6.011214990714881,6.638272163982407
1086,5.094850402479962,5.6178984639632,5.522878745280337
3148,4.8684833766923505,4.969966946666838,4.533132379645891
4081,3.907553984251936,3.9928187857362634,3.6989700043360174
2399,4.620278181004,5.004779115093442,3.6989700043360174
3688,5.439247466373243,5.742767390480121,4.915245036820646
808,5.5568445134193345,5.289078697711342,6.292429823902063
1514,5.786493196252968,6.47943836647027,5.101823516502323
3684,6.479582919802256,6.179551897389084,7.366531544420414
1780,8.234059359504418,8.811015859714866,9.318758762624412
1611,4.605598734335667,4.3619648662905135,3.2967086218813386
1650,5.439335319133781,5.485425727428442,6.154901959985743
730,6.480987388935998,6.679818685744218,7.769551078621726
5137,5.325236346439898,5.0743912999804115,5.578396073130169
4108,3.0522592542341003,3.528770951094883,3.047788941891331
4765,8.274286677621674,7.760245956630247,8.787812395596042
2181,4.5602566939521765,4.6721230225040555,4.809668301829708
4727,3.8800382461599416,4.009320343181835,3.686976889676762
5136,5.5222262066684,5.240026978066116,5.437707135543525
1144,8.102751186254014,7.488742956220794,8.247951552180561
1302,4.10707707014776,4.141998375758568,4.301029995663981
167,6.146572296202957,5.851934510913246,6.79317412396815
4837,4.615209100857533,4.305079251627182,4.543633966870957
233,5.027474762474197,4.974522365881686,5.0
5569,4.2664502562261015,4.685521697073218,4.301029995663981
3827,5.991378290450611,5.5657971844392495,5.798602875679548
2418,8.730343537905021,8.507289895543055,8.860120913598763
960,6.377615755884724,6.913131636625319,7.552841968657781
4909,6.346684212756983,6.415426072732297,6.991399828238082
3691,5.294125912744605,5.127110485011565,4.513286224017515
3555,7.526118230494919,6.843905664541873,7.815308569182402
2929,4.824034024770207,4.520283746234967,4.145693958198919
1371,6.2288010663200355,5.699194279687049,6.485452247339714
2683,5.023990787873889,4.93981904353011,5.47755576649368
