,ECFP6_2048,pairfps,pIC50
3050,8.783378659872424,8.80038560293778,9.431798275933003
2678,8.069418563599553,7.892489037388751,7.696803942579511
2958,8.044356441746014,8.19366124079056,8.229884705212898
3113,5.983110336024872,7.00140053344128,5.393511149557352
139,6.0664511251469735,5.5897064562294805,5.221848749616356
3072,5.056812299861094,5.1920582186825275,5.0
2542,8.209457210957963,7.8470798350465465,8.443697499232712
2381,8.859435924829338,8.707600386541902,8.744727494896694
2963,8.050574138318465,8.450614771312019,8.229884705212898
1414,8.998260488034749,8.789927076252972,9.110026361596004
1391,8.550580181005364,8.52664704108412,8.609948503541013
1582,8.074558733067638,7.979505729850668,7.730020323354676
610,6.972269007436045,7.528826631446449,8.154901959985743
463,5.143698063798987,5.281469724294868,6.698970004336019
192,6.372130194501008,6.33953941770277,7.318758762624412
1684,7.598332895577792,7.4458776188143085,7.110026361596004
3010,6.649695645750677,6.901186363705823,8.09151498112135
567,7.154440159021476,6.978330292169245,7.552841968657781
2582,4.9787207443139065,4.967350843281954,5.0
2054,8.367042117556306,8.630166479763071,9.154901959985745
1431,8.449459702376318,8.27773008337791,8.669992299127241
2016,8.245950571044359,8.290915251957838,8.3767507096021
1426,8.74620730227506,8.466756739710103,8.250031916490597
1766,7.90119310213798,7.961895050657233,7.439973751087107
1450,8.218038041522318,8.038615374544236,8.250031916490597
1360,8.562217618665528,8.62504110289934,8.840132152907433
764,5.9371023410316335,5.817040152522108,5.6777807052660805
1565,8.165564247803667,7.597136852965257,8.110026361596004
2985,5.45340377551762,5.781743450429306,6.037157318798758
1373,8.780662584632084,9.01328284904322,8.910094888560602
839,7.426406485305101,7.088280045814982,7.100015437450609
718,5.575060887758282,6.0726183454707465,5.0
17,6.159852197884192,6.103653458090788,6.568636235841013
416,6.015510764521628,7.091699594320987,6.050609993355087
214,6.7861533299775365,6.76176642783474,7.113509274827518
2749,5.864536154424529,6.085287434380318,5.823908740944319
203,6.456583802956379,5.869619371867712,7.1249387366083
1006,5.457094248202156,5.514050639353823,6.301029995663981
2804,6.635070008831573,5.602360273746108,4.958607314841775
1962,7.748349929792111,8.072291655595713,7.467245621007502
211,6.885776487602861,6.6684898926469645,7.142667503568732
1351,7.821569118799822,8.420231765148593,8.659952682338607
102,6.578443044955019,6.562327204333451,7.142667503568732
1090,6.951845589935453,7.642732872792822,9.0
1029,5.46123736057908,5.237889952989634,5.0
1672,7.55246112258958,7.762670184349872,7.53003079050004
2846,6.633487057576615,7.835083889221642,6.211124884224583
289,6.292523541604974,6.538009038156482,6.552841968657781
134,5.09737164161128,5.14463011167818,5.7447274948966935
596,6.517552982057459,6.660433774513537,5.013228265733755
2868,5.82641491950269,5.877429371976077,5.823619307756729
1742,7.721181291211786,7.515709541957284,7.090016305060156
439,4.79990668420799,4.705480510736543,4.236572006437063
1543,8.18588520927657,8.439739249517665,8.330032630091496
