,ECFP6_2048,mol2vec,pIC50
2268,7.662661540651142,7.339270520795731,7.468521082957745
3529,7.966496245329523,6.297544563408992,7.697885623043799
3916,5.176611284985445,4.899273975171141,4.454321850207974
4371,5.969445914849114,5.888960924471566,5.701146923590294
544,5.494640482106673,5.664201416781349,4.2699999970646445
2225,6.6969949847628705,6.667087234992961,6.6777807052660805
3739,5.1015540841667555,4.3852164211328,3.3010299956639813
2887,5.513011213522505,5.861686979681844,4.801342913045577
228,6.079339964659621,5.741502530359631,5.886056647693163
393,7.222017517340319,6.477421300914311,7.929962133392243
4917,6.345943313144262,6.384972199231686,6.941573975542995
1964,9.325231729734663,10.457590487404223,9.30102999566398
2650,5.053287593282854,5.076031684499616,4.697452627512514
3017,5.373625839837416,5.674080158903578,5.251811972993799
401,7.2089358785045485,6.958016582219615,7.730020323354676
4974,5.885283457962505,5.916797993335141,6.080921907623926
2173,4.545142642567516,4.8206511033622,4.832682665251824
3939,6.002156433444717,6.7896466638227055,5.174573882232177
3181,6.731139782053108,5.940403444850131,6.370590400897281
346,6.737730206736477,6.372438882310684,7.010016541698601
1550,6.042921516493935,6.269647017035249,6.716698771296451
5714,5.248544097694485,5.077404846576957,4.943095148663527
705,6.744408853313967,7.479527430348933,8.657577319177793
3951,5.052264697399414,4.918397367329402,5.1938200260161125
4645,3.8314475824908953,3.9880983233132334,3.882397308309916
2358,5.104819877801218,4.791388021749974,4.911509529817604
4338,7.011129247874037,6.791466208490192,7.366531544420414
4440,5.467292374168747,5.822577777189589,5.236572006437063
2521,5.475543924812859,5.509170798698077,5.106238237942057
4059,3.828632622225033,4.113822446410156,3.0
2986,2.5557295718494983,2.72203485897707,2.9706162223147903
410,8.162725166985844,6.631012063380003,7.886056647693163
5620,5.785384285268383,5.261219746631419,5.0
3080,7.212234677540252,7.14915339532134,6.632644078973981
3375,8.070828866895637,9.587442083598734,10.571055709964426
3767,5.401066182727988,5.192261180401769,5.2225731776106885
5910,4.174772811670499,3.708695012493645,2.710634048479968
755,7.417564736660018,7.377441221614397,7.920818753952375
1496,6.235355141849605,5.898159843013773,5.552841968657781
4631,7.139423980438671,7.359677287138542,6.958607314841775
5377,5.254660441857565,5.658725615090777,4.75559916619863
6045,6.962803705913482,5.9143145966162,6.638272163982407
1086,5.063189895705791,5.62976132017931,5.522878745280337
3148,4.634953256272186,5.023665325155334,4.533132379645891
4081,4.019965707688622,4.710349696343069,3.6989700043360174
2399,4.9295368339454795,3.961631820776932,3.6989700043360174
3688,5.513054276824677,6.047693422730328,4.915245036820646
808,5.681069356099935,6.341348274003603,6.292429823902063
1514,5.879541096478949,5.785568121970813,5.101823516502323
3684,6.420058786233102,6.42208946154564,7.366531544420414
1780,8.233587450616994,8.081924442674989,9.318758762624412
1611,4.072748176028894,3.663405338819291,3.2967086218813386
1650,5.3498569572771455,5.7098216122617895,6.154901959985743
730,7.007944694258452,6.9038347280421215,7.769551078621726
5137,5.354355665421448,5.426724513897434,5.578396073130169
4108,2.929943214856827,3.417114144312546,3.047788941891331
4765,8.497763001478265,7.548811690565729,8.787812395596042
2181,4.554632549938525,4.756350239571071,4.809668301829708
4727,3.8589782634203615,4.050902864198881,3.686976889676762
5136,6.414820551827673,5.388266897831002,5.437707135543525
1144,7.825125406382184,7.645281171391584,8.247951552180561
1302,3.985051368234379,4.328870558129169,4.301029995663981
167,6.063897389653116,6.46261108995938,6.79317412396815
4837,4.291044972148201,4.513251093488608,4.543633966870957
233,4.8358256025795505,4.978444982841656,5.0
5569,4.227638099236689,4.358843264404853,4.301029995663981
3827,5.97676789633322,5.357212388720337,5.798602875679548
2418,8.755034233333674,8.73745519495273,8.860120913598763
960,6.654658393714115,5.948530918984002,7.552841968657781
4909,6.191106684546207,5.678449101441448,6.991399828238082
3691,5.26976615778389,5.711778477237413,4.513286224017515
3555,7.989689268610238,7.491550288049222,7.815308569182402
2929,4.482225549121952,4.577043318454562,4.145693958198919
1371,6.395398302096255,5.694959851382362,6.485452247339714
2683,5.24081856659765,5.259792554258798,5.47755576649368
710,7.0123601261906385,6.093117295212441,8.304518323509802
