,ECFP6_2048,rdk,pIC50
2268,7.66266154251683,7.823594046681578,7.468521082957745
3529,7.966496247071992,7.204452555135557,7.697885623043799
3916,5.176611283871725,4.8845007868097055,4.454321850207974
4371,5.969445916804114,5.9625622401353375,5.701146923590294
544,5.494640481420508,6.822402435318171,4.2699999970646445
2225,6.696994985252158,6.4943884725279215,6.6777807052660805
3739,5.1015540866639615,4.276306146039096,3.3010299956639813
2887,5.5130112125524535,5.46014784994701,4.801342913045577
228,6.079339962833024,5.511673923051455,5.886056647693163
393,7.222017516361856,6.538524560970702,7.929962133392243
4917,6.345943310271193,7.006269259083643,6.941573975542995
1964,9.32523172943282,9.200888919888234,9.30102999566398
2650,5.053287594205232,4.939673900630643,4.697452627512514
3017,5.373625841085345,5.204503354268559,5.251811972993799
401,7.208935878007111,7.0477787498099635,7.730020323354676
4974,5.8852834587631255,5.919347589003744,6.080921907623926
2173,4.545142642153923,4.8038023878138665,4.832682665251824
3939,6.0021564353831085,5.557391279315748,5.174573882232177
3181,6.731139781902484,6.189269120737085,6.370590400897281
346,6.737730209079696,6.518081414437055,7.010016541698601
1550,6.042921516856295,6.370060009191772,6.716698771296451
5714,5.24854409867442,5.295991466348804,4.943095148663527
705,6.744408853625673,8.033309898883813,8.657577319177793
3951,5.052264697925737,5.061333840741935,5.1938200260161125
4645,3.831447580423647,4.2700109310663645,3.882397308309916
2358,5.104819876620437,5.019957162248563,4.911509529817604
4338,7.01112924796701,7.347982000238141,7.366531544420414
4440,5.467292375897212,5.499947671089188,5.236572006437063
2521,5.475543922775697,5.988214293413537,5.106238237942057
4059,3.8286326211226522,3.8620548382834037,3.0
2986,2.555729572616406,2.6167934847758425,2.9706162223147903
410,8.16272516642709,8.93201742699603,7.886056647693163
5620,5.785384287011016,5.562727091117301,5.0
3080,7.212234676444697,7.2150726041609285,6.632644078973981
3375,8.07082886593796,9.781929088956655,10.571055709964426
3767,5.401066182689102,5.011327880204062,5.2225731776106885
5910,4.174772812717067,4.2966061723798115,2.710634048479968
755,7.417564737614033,7.690260101144514,7.920818753952375
1496,6.235355142960366,6.376245279696027,5.552841968657781
4631,7.13942397917929,6.979550448680886,6.958607314841775
5377,5.254660441337654,5.541541834352701,4.75559916619863
6045,6.962803706800343,6.287668646893731,6.638272163982407
1086,5.063189897722705,5.5757464673388455,5.522878745280337
3148,4.634953255490755,4.67052407212403,4.533132379645891
4081,4.019965702473491,4.046243321346866,3.6989700043360174
2399,4.929536830579945,4.741112267958804,3.6989700043360174
3688,5.513054275957173,5.69080312933545,4.915245036820646
808,5.681069356239563,5.999091965059033,6.292429823902063
1514,5.879541095419754,6.273902893615279,5.101823516502323
3684,6.42005878430094,6.242829238391967,7.366531544420414
1780,8.2335874492809,9.089180457301714,9.318758762624412
1611,4.0727481774857655,4.045392123250469,3.2967086218813386
1650,5.349856957232315,5.4808891500077594,6.154901959985743
730,7.0079446937464205,6.894434991032644,7.769551078621726
5137,5.354355665800751,5.369771328556515,5.578396073130169
4108,2.9299432161056993,3.3615192616315395,3.047788941891331
4765,8.497762999937617,7.995212526889057,8.787812395596042
2181,4.5546325526016425,4.600828029292355,4.809668301829708
4727,3.8589782639151724,3.9109759727319835,3.686976889676762
5136,6.4148205500013,5.506854104227529,5.437707135543525
1144,7.8251254054888255,7.407471589535887,8.247951552180561
