,ECFP6_2048,pairfps,pIC50
3050,8.82198539727804,8.585142631421679,9.431798275933003
2678,7.757543780214967,7.901225417836532,7.696803942579511
2958,8.260519607999914,8.20741593241002,8.229884705212898
3113,6.067148986888688,7.240401025001852,5.393511149557352
139,5.638439991267818,5.787932139373361,5.221848749616356
3072,5.156758357753353,5.439785156794079,5.0
2542,8.255105703339629,8.174199639208993,8.443697499232712
2381,8.935669313465528,9.163397783729117,8.744727494896694
2963,8.24283086463693,8.232928541951598,8.229884705212898
1414,8.997094591643782,8.741261706958168,9.110026361596004
1391,8.34455833727647,8.412997621300015,8.609948503541013
1582,7.763114439701462,7.612550252835598,7.730020323354676
610,7.067990115239722,7.5394399200360045,8.154901959985743
463,5.082242167725549,5.725527600068896,6.698970004336019
192,6.3132458619018115,6.445985808235827,7.318758762624412
1684,7.51117593818209,7.398940105590662,7.110026361596004
3010,6.718778017408206,7.420524994220554,8.09151498112135
567,7.293495809932872,7.069544384443586,7.552841968657781
2582,5.04605204744028,4.959303214084696,5.0
2054,8.479025330217745,8.552821139138379,9.154901959985745
1431,8.455270568428904,8.191378743820513,8.669992299127241
2016,8.238217158816225,8.343350502678758,8.3767507096021
1426,8.519609736377348,8.247023138563549,8.250031916490597
1766,7.872010098585433,7.439460403714775,7.439973751087107
1450,7.868139052172244,8.133104311885948,8.250031916490597
1360,8.657259780824699,8.596311174921718,8.840132152907433
764,6.27417818806029,6.20933818627864,5.6777807052660805
1565,8.364177932645273,7.762622552639264,8.110026361596004
2985,5.375671790037409,6.182371160401504,6.037157318798758
1373,8.84385020431503,9.100277221460177,8.910094888560602
839,7.314455054276411,7.117875702362485,7.100015437450609
718,5.55417111563297,7.103436933055301,5.0
17,6.377233197046122,6.386917205689186,6.568636235841013
416,5.850328121786854,6.72728440619629,6.050609993355087
214,6.463339879000761,6.783149865059372,7.113509274827518
2749,5.72990150850799,6.015146894441425,5.823908740944319
203,6.719270488540744,6.076092807225813,7.1249387366083
1006,5.184694237564579,5.082507943130809,6.301029995663981
2804,5.8232248986044635,5.239625832223006,4.958607314841775
1962,7.9251110761533505,7.892230409876145,7.467245621007502
211,6.910060025470159,6.8106290150116875,7.142667503568732
1351,8.014649458564778,8.397850945368159,8.659952682338607
102,6.718556039247791,6.2169843467138035,7.142667503568732
1090,7.350379502733696,7.702327329497923,9.0
