,ECFP6_2048,pubchem,pIC50
3050,8.821985399032185,8.72378625171898,9.431798275933003
2678,7.757543780942975,7.650675963651417,7.696803942579511
2958,8.260519609655178,8.572930753185647,8.229884705212898
3113,6.067148987099967,5.9047028375968065,5.393511149557352
139,5.6384399792646365,5.828613479457247,5.221848749616356
3072,5.156758353116036,5.674312864268518,5.0
2542,8.255105702171221,8.544926856072648,8.443697499232712
2381,8.935669311856484,8.087677759895769,8.744727494896694
2963,8.242830865727472,8.290762253606587,8.229884705212898
1414,8.997094591037545,8.719463359436757,9.110026361596004
1391,8.344558337298373,8.442009507570356,8.609948503541013
1582,7.763114439181389,8.530371347462099,7.730020323354676
610,7.067990113348997,7.467921104226367,8.154901959985743
463,5.082242165261556,5.050767309596772,6.698970004336019
192,6.3132458534912885,6.888262084040918,7.318758762624412
1684,7.5111759404896254,7.890899012690828,7.110026361596004
3010,6.718778013228522,6.59674837032756,8.09151498112135
567,7.29349580534078,7.158759294467682,7.552841968657781
2582,5.046052046021199,5.065635269274589,5.0
2054,8.47902532997659,8.497469398340595,9.154901959985745
1431,8.45527056765585,8.16303668286375,8.669992299127241
2016,8.23821715644083,8.12640802428844,8.3767507096021
1426,8.51960973559554,8.137341508544614,8.250031916490597
1766,7.872010100637362,8.235150544740959,7.439973751087107
1450,7.868139051331179,7.994389047157864,8.250031916490597
1360,8.65725978270214,8.693421254293636,8.840132152907433
764,6.2741781852743905,5.542265161358597,5.6777807052660805
1565,8.364177932305457,8.518605555857725,8.110026361596004
2985,5.375671822682894,6.44159555953752,6.037157318798758
1373,8.843850204912503,8.784118376066964,8.910094888560602
839,7.3144550564697335,7.511508273075644,7.100015437450609
718,5.554171117321185,5.164556333355945,5.0
17,6.3772331973567375,6.351499731445426,6.568636235841013
416,5.850328107551626,5.914208593322639,6.050609993355087
214,6.463339879074296,7.025378814756256,7.113509274827518
2749,5.729901511591968,6.126858966019385,5.823908740944319
203,6.719270489582375,6.872778663313001,7.1249387366083
1006,5.184694233222095,5.056868898707005,6.301029995663981
2804,5.823224888418076,5.960821556113297,4.958607314841775
1962,7.925111080939734,7.842875727794658,7.467245621007502
211,6.910060025477461,7.207305719276021,7.142667503568732
1351,8.014649457488325,7.588065337063516,8.659952682338607
102,6.718556044534071,7.2055361193188014,7.142667503568732
1090,7.3503795047319604,7.746226694220605,9.0
1029,5.640702165092496,5.740854228585916,5.0
1672,7.810449923954844,7.844622500886415,7.53003079050004
2846,6.701964940603551,6.70656128235119,6.211124884224583
289,6.3009947347006605,6.229125534132334,6.552841968657781
134,5.232885380009978,5.142212373238031,5.7447274948966935
596,6.7745666995070914,5.18699511561972,5.013228265733755
2868,5.8570293766658725,5.8446336428752526,5.823619307756729
1742,7.619405193668003,7.93923173781392,7.090016305060156
439,4.9776835590967705,4.874876302198228,4.236572006437063
1543,8.239091269663223,8.735721016029386,8.330032630091496
1134,8.357216169170792,8.262908169987936,8.823908740944319
1359,6.459267958766153,6.124055353021171,6.409994580348671
170,4.4833129200087924,4.4786117057666806,4.301029995663981
1651,7.891504600063959,7.843147339084566,7.430041181903406
178,4.47479024574552,4.521378802278805,4.301029995663981
291,6.372687549220167,6.480325932927704,5.920818753952375
507,6.001699273212095,5.4146628425882,4.301029995663981
3055,6.55314432761952,6.205578634919883,5.329754146925876
354,4.3457401216715565,4.379171755634372,4.301029995663981
736,6.44227136435872,6.503691644098052,5.860120913598763
486,7.286274888795163,7.191217372869207,7.060480747381382
1283,8.362815337134286,8.83880411479851,8.849857838151442
2494,4.79323421382193,4.952426988011875,4.920818753952375
194,7.54583532209239,7.0750035653163605,7.130768280269024
2926,5.240555429007205,5.06997019932399,5.0
594,5.4928529894920235,5.453749059054169,4.301029995663981
2624,8.58163967520823,8.090975596872077,8.769551078621726
2411,6.903243294594144,6.958658964582106,7.598599459218456
1606,7.246897920647355,7.827698419260228,6.919987152892072
44,6.903294661556045,6.954410779199805,6.7447274948966935
1378,8.34013895195339,7.898088917922067,8.929962133392245
1057,6.325962795241365,6.552175499317133,6.301029995663981
2664,4.064053359767707,4.575762139770443,4.666351243485299
2233,6.691508023595769,5.403243036583247,5.640164517660112
3107,6.9602804101775595,7.346929356218443,6.618343517414213
2843,6.675745577357165,6.838951672219174,6.501689446210399
568,7.780588631187024,8.197849282020083,7.136677139879544
1655,9.172643227588768,8.706654378265393,8.659952682338607
874,7.192234506367123,7.088027969327518,5.709965388637482
240,6.7235881650593985,7.190927232401215,7.5376020021010435
332,4.299749143514713,4.345262886874811,4.301029995663981
3001,7.072290033514421,6.7537857175961715,6.832682665251824
1116,8.703419264963888,8.685306051955905,8.443697499232712
1084,4.756537639012698,5.102662260796921,6.221848749616356
3151,4.983693895778104,4.864786989246794,5.0
2091,8.209866571227257,8.463087753393383,8.795880017344075
321,4.1261065515909845,4.333315741720097,4.455931955649724
1425,8.483395870163609,8.417787906045735,8.819874124835946
1323,6.386588702269387,7.014397939972716,7.299988937677887
1752,7.161366803838218,7.202746960724351,6.83000246293343
2243,6.249144046456732,6.420881530612669,5.569602408613033
2358,8.146565126606571,8.826578239844665,8.769551078621726
1675,7.979637234724569,7.800024613174395,7.419987887470576
2412,6.990403404343173,6.958658964582106,7.744727494896693
423,5.63057697751971,6.409714868431984,5.958607314841775
2020,7.851029086592202,7.824311248025653,7.987162775294828
2615,6.4996837862875445,6.021733901998863,6.428291168191312
2157,7.011796467114412,7.278873164006787,7.67778070526608
759,4.8263157700401065,4.830883994177642,5.443697499232712
1239,8.284531656543804,8.236851894078393,9.250031916490595
322,4.551354303303589,4.432145542939748,4.301029995663981
2924,4.991459811441823,4.990135419968954,5.0
3145,5.300856771038921,4.871842386390841,5.0
2184,7.722397938287128,7.615773297230622,8.537602002101044
254,5.613637643749387,5.4328145783507145,4.7447274948966935
1783,8.00940724673705,7.265989921459869,6.919987152892072
729,6.703218404341075,7.611669293659683,7.853871964321762
746,6.097146367767753,6.306571305095306,6.300162274132754
298,5.598260260830811,6.000254377953011,6.769551078621726
1446,8.348613001119327,8.481976667564629,8.219970872662662
1454,8.465990052094647,8.222282512331347,8.860120913598763
1444,8.366606750368183,8.386640245973416,8.179995693191682
2350,6.669227314675507,6.049255598067325,6.0
51,6.3083335249694015,5.759587407179753,6.236572006437063
3094,6.2570685431656115,6.35515314680525,5.603800652904264
63,6.96896125810984,6.827706926677699,7.397940008672037
1747,8.125495537509932,7.781322494225585,7.100015437450609
2728,6.891763282096577,7.512707661724222,8.67778070526608
2662,4.679924908847946,4.575524398326425,4.34428545038129
2772,5.785206026509472,6.077322485159314,5.823908740944319
442,4.829836702411632,5.1090442905031,4.698970004336019
2031,8.189606792407156,8.073978748710548,8.193820026016112
52,6.092420889199396,6.292746810757149,6.958607314841775
2226,5.74482242796531,4.964630570489912,5.0
1497,8.274069746034145,8.347676339318632,8.330032630091496
2631,8.176128265849567,8.020321692240124,9.522878745280336
2897,6.207171093332837,6.88691103624299,6.347753658996677
2818,8.746416609572679,8.541605360815606,8.920818753952375
479,6.6485609042390355,6.419944926580191,7.42021640338319
3137,4.946634734906792,4.902798764927689,5.0
