"","ChEMBLID","Fingerprints","r2","fingerprint_combination"
"1","ChEMBL238","ECFP6_2048",0.6711,"mol2vec"
"2","ChEMBL238","ECFP6_2048",0.6515,"mol2vec"
"3","ChEMBL238","ECFP6_2048",0.6071,"mol2vec"
"4","ChEMBL238","ECFP6_2048",0.6477,"mol2vec"
"5","ChEMBL238","ECFP6_2048",0.6082,"mol2vec"
"6","ChEMBL238","ECFP6_2048",0.6989,"mol2vec"
"7","ChEMBL238","ECFP6_2048",0.6736,"mol2vec"
"8","ChEMBL238","ECFP6_2048",0.5637,"mol2vec"
"9","ChEMBL238","ECFP6_2048",0.6564,"mol2vec"
"10","ChEMBL238","ECFP6_2048",0.6286,"mol2vec"
"11","ChEMBL238","mol2vec",0.6254,"mol2vec"
"12","ChEMBL238","mol2vec",0.528,"mol2vec"
"13","ChEMBL238","mol2vec",0.5037,"mol2vec"
"14","ChEMBL238","mol2vec",0.5458,"mol2vec"
"15","ChEMBL238","mol2vec",0.5036,"mol2vec"
"16","ChEMBL238","mol2vec",0.5229,"mol2vec"
"17","ChEMBL238","mol2vec",0.622,"mol2vec"
"18","ChEMBL238","mol2vec",0.4474,"mol2vec"
"19","ChEMBL238","mol2vec",0.5344,"mol2vec"
"20","ChEMBL238","mol2vec",0.6074,"mol2vec"
"21","ChEMBL238","lr",0.4562,"mol2vec"
"22","ChEMBL238","lr",0.7379,"mol2vec"
"23","ChEMBL238","lr",0.6623,"mol2vec"
"24","ChEMBL238","lr",0.6262,"mol2vec"
"25","ChEMBL238","lr",0.6354,"mol2vec"
"26","ChEMBL238","lr",0.6979,"mol2vec"
"27","ChEMBL238","lr",0.6291,"mol2vec"
"28","ChEMBL238","lr",0.5306,"mol2vec"
"29","ChEMBL238","lr",0.8056,"mol2vec"
"30","ChEMBL238","lr",0.5172,"mol2vec"
"31","ChEMBL238","ECFP6_2048",0.6711,"pubchem"
"32","ChEMBL238","ECFP6_2048",0.6515,"pubchem"
"33","ChEMBL238","ECFP6_2048",0.6071,"pubchem"
"34","ChEMBL238","ECFP6_2048",0.6477,"pubchem"
"35","ChEMBL238","ECFP6_2048",0.6082,"pubchem"
"36","ChEMBL238","ECFP6_2048",0.6989,"pubchem"
"37","ChEMBL238","ECFP6_2048",0.6736,"pubchem"
"38","ChEMBL238","ECFP6_2048",0.5637,"pubchem"
"39","ChEMBL238","ECFP6_2048",0.6564,"pubchem"
"40","ChEMBL238","ECFP6_2048",0.6286,"pubchem"
"41","ChEMBL238","pubchem",0.6396,"pubchem"
"42","ChEMBL238","pubchem",0.5863,"pubchem"
"43","ChEMBL238","pubchem",0.4662,"pubchem"
"44","ChEMBL238","pubchem",0.608,"pubchem"
"45","ChEMBL238","pubchem",0.6114,"pubchem"
"46","ChEMBL238","pubchem",0.6594,"pubchem"
"47","ChEMBL238","pubchem",0.6173,"pubchem"
"48","ChEMBL238","pubchem",0.6121,"pubchem"
"49","ChEMBL238","pubchem",0.628,"pubchem"
"50","ChEMBL238","pubchem",0.6196,"pubchem"
"51","ChEMBL238","lr",0.4322,"pubchem"
"52","ChEMBL238","lr",0.7369,"pubchem"
"53","ChEMBL238","lr",0.6227,"pubchem"
"54","ChEMBL238","lr",0.6643,"pubchem"
"55","ChEMBL238","lr",0.5755,"pubchem"
"56","ChEMBL238","lr",0.6787,"pubchem"
"57","ChEMBL238","lr",0.5895,"pubchem"
"58","ChEMBL238","lr",0.5318,"pubchem"
"59","ChEMBL238","lr",0.7854,"pubchem"
"60","ChEMBL238","lr",0.5528,"pubchem"
"61","ChEMBL238","ECFP6_2048",0.6711,"pairfps"
"62","ChEMBL238","ECFP6_2048",0.6515,"pairfps"
"63","ChEMBL238","ECFP6_2048",0.6071,"pairfps"
"64","ChEMBL238","ECFP6_2048",0.6477,"pairfps"
"65","ChEMBL238","ECFP6_2048",0.6082,"pairfps"
"66","ChEMBL238","ECFP6_2048",0.6989,"pairfps"
"67","ChEMBL238","ECFP6_2048",0.6736,"pairfps"
"68","ChEMBL238","ECFP6_2048",0.5637,"pairfps"
"69","ChEMBL238","ECFP6_2048",0.6564,"pairfps"
"70","ChEMBL238","ECFP6_2048",0.6286,"pairfps"
"71","ChEMBL238","pairfps",0.6708,"pairfps"
"72","ChEMBL238","pairfps",0.6213,"pairfps"
"73","ChEMBL238","pairfps",0.5171,"pairfps"
"74","ChEMBL238","pairfps",0.6167,"pairfps"
"75","ChEMBL238","pairfps",0.6248,"pairfps"
"76","ChEMBL238","pairfps",0.6341,"pairfps"
"77","ChEMBL238","pairfps",0.634,"pairfps"
"78","ChEMBL238","pairfps",0.4926,"pairfps"
"79","ChEMBL238","pairfps",0.6799,"pairfps"
"80","ChEMBL238","pairfps",0.6498,"pairfps"
"81","ChEMBL238","lr",0.4162,"pairfps"
"82","ChEMBL238","lr",0.7452,"pairfps"
"83","ChEMBL238","lr",0.6686,"pairfps"
"84","ChEMBL238","lr",0.6754,"pairfps"
"85","ChEMBL238","lr",0.5956,"pairfps"
"86","ChEMBL238","lr",0.6885,"pairfps"
"87","ChEMBL238","lr",0.5601,"pairfps"
"88","ChEMBL238","lr",0.5445,"pairfps"
"89","ChEMBL238","lr",0.8024,"pairfps"
"90","ChEMBL238","lr",0.5591,"pairfps"
"91","ChEMBL238","ECFP6_2048",0.6711,"rdk"
"92","ChEMBL238","ECFP6_2048",0.6515,"rdk"
"93","ChEMBL238","ECFP6_2048",0.6071,"rdk"
"94","ChEMBL238","ECFP6_2048",0.6477,"rdk"
"95","ChEMBL238","ECFP6_2048",0.6082,"rdk"
"96","ChEMBL238","ECFP6_2048",0.6989,"rdk"
"97","ChEMBL238","ECFP6_2048",0.6736,"rdk"
"98","ChEMBL238","ECFP6_2048",0.5637,"rdk"
"99","ChEMBL238","ECFP6_2048",0.6564,"rdk"
"100","ChEMBL238","ECFP6_2048",0.6286,"rdk"
"101","ChEMBL238","rdk",0.6313,"rdk"
"102","ChEMBL238","rdk",0.5999,"rdk"
"103","ChEMBL238","rdk",0.5425,"rdk"
"104","ChEMBL238","rdk",0.6367,"rdk"
"105","ChEMBL238","rdk",0.5583,"rdk"
"106","ChEMBL238","rdk",0.5808,"rdk"
