Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,CHEMBLID,fingerprint,algorithm
Light Gradient Boosting Machine,0.5187,0.491,0.7007,0.7455,0.0934,0.0816,CHEMBL218,pubchem,lightgbm
Light Gradient Boosting Machine,0.5154,0.5023,0.7087,0.7396,0.0944,0.0811,CHEMBL218,rdk,lightgbm
Light Gradient Boosting Machine,0.5254,0.5117,0.7153,0.7348,0.095,0.0823,CHEMBL218,ECFP6_2048,lightgbm
Light Gradient Boosting Machine,0.5218,0.532,0.7294,0.7243,0.097,0.0822,CHEMBL218,pairfps,lightgbm
Light Gradient Boosting Machine,0.6037,0.6807,0.8251,0.6472,0.1094,0.0949,CHEMBL218,mol2vec,lightgbm
Light Gradient Boosting Machine,0.5714,0.6413,0.8008,0.748,0.1199,0.1058,CHEMBL220,rdk,lightgbm
Light Gradient Boosting Machine,0.6072,0.7004,0.8369,0.7248,0.1252,0.1122,CHEMBL220,ECFP6_2048,lightgbm
Light Gradient Boosting Machine,0.6158,0.7224,0.8499,0.7161,0.1264,0.1143,CHEMBL220,pairfps,lightgbm
Light Gradient Boosting Machine,0.6297,0.7594,0.8715,0.7016,0.1284,0.1162,CHEMBL220,pubchem,lightgbm
Light Gradient Boosting Machine,0.6391,0.7999,0.8943,0.6857,0.1296,0.1179,CHEMBL220,mol2vec,lightgbm
Light Gradient Boosting Machine,0.4955,0.4442,0.6665,0.6582,0.0916,0.0808,CHEMBL238,ECFP6_2048,lightgbm
Light Gradient Boosting Machine,0.4912,0.4548,0.6744,0.65,0.0912,0.0787,CHEMBL238,rdk,lightgbm
Light Gradient Boosting Machine,0.511,0.4849,0.6963,0.6268,0.0947,0.0826,CHEMBL238,pairfps,lightgbm
Light Gradient Boosting Machine,0.5195,0.4924,0.7017,0.6211,0.0953,0.0837,CHEMBL238,pubchem,lightgbm
Light Gradient Boosting Machine,0.5149,0.5045,0.7103,0.6117,0.0979,0.0842,CHEMBL238,mol2vec,lightgbm
Light Gradient Boosting Machine,0.4672,0.5215,0.7222,0.844,0.1076,0.0827,CHEMBL248,ECFP6_2048,lightgbm
Light Gradient Boosting Machine,0.4604,0.5318,0.7292,0.841,0.1091,0.0826,CHEMBL248,rdk,lightgbm
Light Gradient Boosting Machine,0.5012,0.5643,0.7512,0.8313,0.112,0.0888,CHEMBL248,pubchem,lightgbm
Light Gradient Boosting Machine,0.4742,0.5644,0.7513,0.8312,0.1117,0.0846,CHEMBL248,pairfps,lightgbm
Light Gradient Boosting Machine,0.5243,0.6208,0.7879,0.8143,0.1189,0.0948,CHEMBL248,mol2vec,lightgbm
Light Gradient Boosting Machine,0.4776,0.4355,0.6599,0.802,0.0865,0.0731,CHEMBL3650,rdk,lightgbm
Light Gradient Boosting Machine,0.4977,0.4494,0.6704,0.7956,0.0876,0.0759,CHEMBL3650,pubchem,lightgbm
Light Gradient Boosting Machine,0.497,0.4557,0.6751,0.7928,0.0887,0.0763,CHEMBL3650,ECFP6_2048,lightgbm
Light Gradient Boosting Machine,0.507,0.4622,0.6799,0.7898,0.0897,0.0783,CHEMBL3650,pairfps,lightgbm
Light Gradient Boosting Machine,0.5806,0.5839,0.7642,0.7345,0.1005,0.0893,CHEMBL3650,mol2vec,lightgbm
