molecule_chembl_id,pIC50,canonical_smiles
CHEMBL156630,5.262012673666569,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NCc3ccccc3)c(Br)c21
CHEMBL155754,5.866461091629782,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21
CHEMBL348083,4.511449283499556,CC(C)/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL157182,4.647817481888637,C/N=C1/CCc2c1n(C)c1cc(Cl)c(OC(=O)NC)cc21
CHEMBL160347,6.7447274948966935,COc1cc(Br)c2oc(C3CCNCC3)cc2c1
CHEMBL347197,5.673664139071248,CC/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL160219,3.0,CNC(=O)Oc1ccc2c(c1)c1c(n2C)/C(=N\CCc2ccccc2)CC1
CHEMBL445916,3.0,CCCn1c2c(c3c(Br)c(OC(=O)NC)ccc31)CC/C2=N/CC
CHEMBL158041,3.94692155651658,Cn1c2c(c3ccccc31)CC/C2=N/Cc1ccncc1
CHEMBL348607,6.1249387366083,CCCCNC(=O)Oc1ccc2c(c1Br)c1c(n2C)/C(=N\C)CC1
CHEMBL156919,5.79317412396815,CCC/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL156931,4.866461091629782,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL160836,6.6777807052660805,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21
CHEMBL156861,6.187086643357144,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Br)c21
CHEMBL346766,6.036212172654444,C/N=C1/CCc2c1n(C)c1ccccc21
CHEMBL155350,7.0,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)c(Cl)c21
CHEMBL155863,4.5951662833800615,CCC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL158946,6.267606240177032,C/N=C1/CCc2c1n(C)c1ccc(OC(=O)N(C)C)c(Br)c21
CHEMBL350464,5.42712839779952,CC/N=C1/CCc2c1n(C)c1ccc(OC(=O)NC)cc21
CHEMBL304241,8.096910013008056,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(C)c1
CHEMBL62743,8.045757490560675,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(C)cc1
CHEMBL65252,8.0,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)c(OC)c1
CHEMBL293004,8.05551732784983,COc1ccccc1C1CC(c2ccc(O)cc2)=NN1C(C)=O
CHEMBL63223,8.065501548756432,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccccc1Cl
CHEMBL66639,7.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(Cl)cc1
CHEMBL418480,8.0,CC(=O)N1N=C(c2ccc(O)cc2O)CC1c1ccc(Cl)cc1
CHEMBL291647,8.045757490560675,COc1ccc(C2CC(c3ccc(O)cc3O)=NN2C(C)=O)cc1
CHEMBL303594,8.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1cccc(Cl)c1
CHEMBL294811,7.0,CC(=O)N1N=C(c2ccc(O)cc2)CC1c1ccc(C)cc1
CHEMBL65761,8.045757490560675,COc1ccc(C2CC(c3ccc(O)cc3)=NN2C(C)=O)cc1
CHEMBL303112,8.096910013008056,COc1ccccc1C1CC(c2ccc(O)cc2O)=NN1C(C)=O
CHEMBL887,6.154901959985743,C#CCN[C@@H]1CCc2ccccc21
CHEMBL1235738,4.752026733638194,C#CCN[C@H]1CCc2ccccc21
CHEMBL332223,6.639993867770902,CCOC(=O)C1=Cc2ccccc2CC1=O
CHEMBL333180,6.679999195735272,CCOC(=O)C1=Cc2cc(Br)ccc2CC1=O
CHEMBL123609,6.0,O=C(O)C1=Cc2cc(Br)ccc2CC1=O
CHEMBL122750,6.299997602857746,O=C(O)C1=Cc2cc(Cl)ccc2CC1=O
CHEMBL331290,7.540004743952609,O=C(Cl)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL332164,7.540004743952609,Cc1ccc2c(c1)C=C(C(=O)Cl)C(=O)C2
CHEMBL123768,6.719991046891814,CCOC(=O)C1=Cc2cc(C)ccc2CC1=O
CHEMBL122697,6.299997602857746,CCOC(=O)C1=Cc2cc(Cl)ccc2CC1=O
CHEMBL340590,7.519993057042849,O=C(Cl)C1=Cc2cc(Cl)ccc2CC1=O
CHEMBL122279,4.820000071285178,O=C(O)C1=Cc2ccccc2CC1=O
CHEMBL125541,7.700057099977233,O=C(Cl)C1=Cc2cc(Br)ccc2CC1=O
CHEMBL331245,4.920000156997057,Cc1ccc2c(c1)C=C(C(=O)O)C(=O)C2
CHEMBL121752,6.589999287456538,CCOC(=O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
CHEMBL123071,7.169989064063882,O=C(O)C1=Cc2cc([N+](=O)[O-])ccc2CC1=O
